epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1190.19,1.65492,1.19353,0.95746,0.40451,0.31509,0.28076,0.14996,1.59104,1.10778,0.92194,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1226.11,1.64424,1.19002,0.9576,0.40486,0.30639,0.27468,0.1489,1.58429,1.10513,0.92482,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1262.23,1.64296,1.18028,0.95441,0.41742,0.3196,0.28798,0.15314,1.58194,1.08453,0.92295,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1298.3,1.64435,1.18395,0.95488,0.41856,0.30303,0.2792,0.15275,1.55262,1.09997,0.91595,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1334.23,1.63543,1.17718,0.95234,0.40427,0.32031,0.28194,0.1471,1.65076,1.09916,0.92802,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1370.3,1.63159,1.16947,0.95341,0.40521,0.31629,0.28442,0.1538,1.55598,1.08729,0.91618,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1406.57,1.62169,1.16259,0.95084,0.4263,0.3213,0.29157,0.15738,1.57011,1.08296,0.91836,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1442.8,1.6321,1.16836,0.94901,0.40675,0.32503,0.29175,0.15522,1.59112,1.08291,0.9223,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1478.63,1.61433,1.15562,0.94911,0.42063,0.32335,0.29217,0.15749,1.53993,1.06933,0.91248,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1514.94,1.62644,1.16004,0.94897,0.4118,0.3224,0.2929,0.15442,1.58209,1.07395,0.91823,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1550.61,1.61346,1.15242,0.94776,0.42133,0.32329,0.29226,0.15872,1.52982,1.06775,0.91109,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1586.54,1.60904,1.14948,0.94737,0.41674,0.32778,0.29728,0.16128,1.5561,1.06496,0.91556,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1622.56,1.62228,1.15356,0.94742,0.43718,0.32065,0.29747,0.15633,1.60364,1.07712,0.92334,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1658.53,1.59921,1.13785,0.94894,0.41606,0.32412,0.29374,0.16094,1.52391,1.06433,0.91286,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1694.45,1.62112,1.15246,0.94874,0.4373,0.32314,0.29557,0.16127,1.5312,1.06795,0.90888,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1730.48,1.59852,1.13583,0.94508,0.42668,0.32819,0.29928,0.16159,1.54544,1.05854,0.91066,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1766.47,1.60893,1.1456,0.94499,0.41803,0.32615,0.29632,0.16116,1.53295,1.06256,0.90966,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1802.73,1.59459,1.13327,0.94256,0.43087,0.32742,0.30285,0.16391,1.53534,1.05586,0.91274,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1838.64,1.60291,1.13307,0.94194,0.43205,0.33104,0.305,0.1657,1.52756,1.05157,0.90986,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1874.81,1.60178,1.14147,0.9431,0.44013,0.32459,0.29955,0.16392,1.52936,1.05158,0.91074,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1910.95,1.59323,1.12518,0.94138,0.44267,0.3228,0.30183,0.16559,1.51624,1.04683,0.90865,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1947.02,1.60167,1.13502,0.93987,0.42754,0.33227,0.30511,0.16355,1.56762,1.05835,0.91358,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1983.02,1.59503,1.12905,0.94298,0.42476,0.33308,0.30321,0.16459,1.53511,1.05307,0.91025,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2019.37,1.58607,1.1222,0.94076,0.43595,0.32347,0.3034,0.1661,1.52486,1.04196,0.90848,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2055.35,1.59222,1.12473,0.9415,0.43396,0.32729,0.30358,0.16211,1.54507,1.0454,0.91129,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2091.43,1.58274,1.11477,0.94054,0.4376,0.33496,0.31244,0.17042,1.50812,1.03485,0.90664,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2127.1,1.58007,1.11484,0.93818,0.44666,0.33211,0.30941,0.16791,1.52996,1.04209,0.90811,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
