epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1479.8,1.49505,1.01728,0.92532,0.49784,0.37506,0.36521,0.204,1.42657,0.97856,0.89145,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1523.49,1.48515,1.00918,0.92317,0.48906,0.37242,0.35806,0.20243,1.40176,0.97191,0.88757,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1567.07,1.48508,1.00618,0.9208,0.4872,0.37791,0.36133,0.2018,1.41706,0.9661,0.88965,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1610.77,1.48125,1.00341,0.92134,0.50401,0.37522,0.36765,0.20472,1.4346,0.96497,0.89044,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1654.4,1.47762,0.99817,0.91758,0.48717,0.37576,0.36217,0.20209,1.41853,0.96482,0.88705,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1697.91,1.48104,0.99717,0.91908,0.49365,0.38,0.36513,0.20447,1.40755,0.9681,0.88822,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1741.38,1.47076,0.98836,0.91599,0.49162,0.37696,0.36838,0.20731,1.40394,0.95679,0.88511,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1785.39,1.47433,0.99149,0.91795,0.49416,0.37966,0.36732,0.2071,1.39812,0.95667,0.88397,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1829.1,1.46336,0.9847,0.91525,0.50533,0.37323,0.36639,0.20637,1.40657,0.95848,0.88644,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1872.6,1.46998,0.98574,0.91525,0.50563,0.37962,0.36818,0.204,1.42711,0.95926,0.88847,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1916.93,1.44598,0.97124,0.9141,0.50264,0.38485,0.3752,0.21286,1.38721,0.94354,0.88208,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1960.67,1.4554,0.9715,0.91243,0.49481,0.38626,0.3725,0.20939,1.40299,0.95173,0.88398,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2004.87,1.45671,0.97051,0.91328,0.50494,0.37922,0.37102,0.20944,1.38033,0.94463,0.88174,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
