epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2296.94,1.69413,1.40014,1.21176,0.41137,0.33608,0.30021,0.1618,1.61723,1.27079,1.14969,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2365.94,1.68423,1.38737,1.20556,0.4187,0.33214,0.30062,0.16261,1.61659,1.26705,1.14383,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2434.64,1.6843,1.38532,1.20175,0.43382,0.33099,0.30227,0.16377,1.60818,1.25458,1.14375,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2504.18,1.68047,1.38129,1.19803,0.44266,0.33657,0.31482,0.16983,1.60749,1.24791,1.14082,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2573.29,1.67755,1.37615,1.19174,0.43554,0.33161,0.30309,0.16507,1.6039,1.25698,1.13797,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2642.19,1.68098,1.37432,1.19274,0.43587,0.33483,0.3058,0.16474,1.60478,1.25275,1.1356,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2711.25,1.66765,1.35926,1.18515,0.43513,0.34002,0.3138,0.17112,1.60331,1.24256,1.13524,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2780.87,1.67351,1.36878,1.18815,0.42976,0.34073,0.31081,0.16776,1.61755,1.24804,1.13952,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2849.79,1.66432,1.36048,1.1846,0.42407,0.33925,0.3099,0.16948,1.5882,1.24119,1.12915,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2918.78,1.66926,1.3586,1.18356,0.4466,0.34633,0.31849,0.17105,1.6027,1.23763,1.13371,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2987.49,1.65214,1.34551,1.18278,0.44871,0.34342,0.31923,0.17344,1.59986,1.23717,1.12903,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3056.04,1.658,1.34316,1.17739,0.438,0.34382,0.31712,0.17279,1.58326,1.23967,1.12603,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3125,1.65909,1.34451,1.17793,0.43259,0.34467,0.31782,0.1764,1.56648,1.23136,1.12076,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3193.92,1.64569,1.33333,1.17801,0.45913,0.34396,0.32534,0.17878,1.56999,1.22512,1.1176,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3262.81,1.65727,1.34508,1.17354,0.44112,0.35618,0.32504,0.17683,1.57765,1.22701,1.11804,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3331.47,1.64854,1.33333,1.17341,0.44934,0.35466,0.32721,0.17569,1.60818,1.22646,1.12859,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3400.45,1.6484,1.33891,1.1714,0.44719,0.35035,0.32481,0.1765,1.58557,1.2189,1.12022,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3469.97,1.6442,1.32668,1.16682,0.44915,0.34978,0.32302,0.17812,1.56181,1.21684,1.11321,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3538.91,1.64349,1.32805,1.16434,0.46047,0.3522,0.33063,0.18059,1.5772,1.21589,1.11689,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3607.94,1.64304,1.32616,1.16523,0.45669,0.35206,0.33028,0.18019,1.57461,1.21385,1.11515,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3676.9,1.6343,1.3164,1.16261,0.45639,0.3527,0.33001,0.18118,1.56379,1.20883,1.11146,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3745.37,1.64384,1.32641,1.16669,0.4472,0.35894,0.33217,0.18259,1.56006,1.20764,1.11054,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3814.08,1.64554,1.31862,1.16331,0.4519,0.35105,0.32938,0.18224,1.54754,1.20543,1.10677,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3882.8,1.63622,1.31864,1.16116,0.44914,0.35015,0.32865,0.18212,1.55546,1.20741,1.10757,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3952.17,1.63796,1.31299,1.16012,0.44845,0.35773,0.3319,0.18443,1.5462,1.20312,1.10347,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4020.79,1.63002,1.31134,1.16081,0.46197,0.35426,0.33359,0.18374,1.55768,1.20024,1.10401,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4089.3,1.62872,1.30627,1.15773,0.45228,0.36123,0.33422,0.18359,1.56372,1.2013,1.10824,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4158.04,1.63022,1.30035,1.15409,0.46177,0.35298,0.33586,0.18538,1.55085,1.19695,1.10325,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4227.78,1.61863,1.29376,1.14711,0.45918,0.35915,0.33765,0.18645,1.55062,1.19737,1.10237,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
